2024-06-04,CL=F,sell,40
2024-06-05,CL=F,buy,35
2024-06-06,CL=F,sell,30
2024-06-07,CL=F,buy,55
2024-06-10,CL=F,sell,45
2024-06-04,GC=F,buy,10
2024-06-05,GC=F,sell,5
2024-06-06,GC=F,buy,8
2024-06-07,GC=F,sell,12
2024-06-10,GC=F,buy,15
2024-06-04,SI=F,buy,18
2024-06-05,SI=F,sell,20
2024-06-06,SI=F,buy,30
2024-06-07,SI=F,sell,25
2024-06-10,SI=F,buy,22
2024-07-01,CL=F,buy,50
2024-07-02,CL=F,sell,60
2024-07-03,CL=F,buy,40
2024-07-04,CL=F,sell,35
2024-07-05,CL=F,buy,45
2024-07-06,CL=F,sell,50
2024-07-07,CL=F,buy,55
2024-07-08,CL=F,sell,60
2024-07-09,CL=F,buy,40
2024-07-10,CL=F,sell,35
2024-07-11,CL=F,buy,45
2024-07-12,CL=F,sell,50
2024-07-13,CL=F,buy,55
2024-07-14,CL=F,sell,60
2024-07-15,CL=F,buy,40
2024-07-16,CL=F,sell,35
2024-07-01,GC=F,sell,20
2024-07-02,GC=F,buy,25
2024-07-03,GC=F,sell,22
2024-07-04,GC=F,buy,18
2024-07-05,GC=F,sell,20
2024-07-06,GC=F,buy,30
2024-07-07,GC=F,sell,25
2024-07-08,GC=F,buy,22
2024-07-09,GC=F,sell,28
2024-07-10,GC=F,buy,24
2024-07-11,GC=F,sell,26
2024-07-12,GC=F,buy,20
2024-07-13,GC=F,sell,18
2024-07-14,GC=F,buy,30
2024-07-15,GC=F,sell,25
2024-07-16,GC=F,buy,22
2024-07-01,SI=F,buy,40
2024-07-02,SI=F,sell,45
2024-07-03,SI=F,buy,38
2024-07-04,SI=F,sell,42
2024-07-05,SI=F,buy,50
2024-07-06,SI=F,sell,35
2024-07-07,SI=F,buy,48
2024-07-08,SI=F,sell,52
2024-07-09,SI=F,buy,40
2024-07-10,SI=F,sell,45
2024-07-11,SI=F,buy,38
2024-07-12,SI=F,sell,42
2024-07-13,SI=F,buy,50
2024-07-14,SI=F,sell,35
2024-07-15,SI=F,buy,48
2024-07-16,SI=F,sell,52
